User-ID,ISBN,Rating,Title,Author,Year,Publisher
276762,0451454952,0,House of the Sun (Shadowrun),Fanpro,2003,Fanpro
276762,0843920262,0,God Game,Ralph Hayes,1983,Ingram Book Co
276762,3404122879,0,"Vater Himmel, Mutter Erde.",Sue Harrison,1995,LÃ?Â¼bbe
276762,3404182928,0,Besiegt vom Sturm der Leidenschaft.,Patricia Potter,2002,LÃ?Â¼bbe
276762,3426690179,0,Sturm der Liebe.,Rosemary Rogers,2001,Droemer Knaur
276762,3442424216,0,"Ich, Prinzessin aus dem Hause Al Saud. Ein Leben hinter tausend Schleiern.",Jean P. Sasson,1994,Goldmann
276762,3442425573,0,Der BronzehÃ?Â¤ndler.,Hanns Kneifel,1996,Goldmann
276762,3453092007,8,Die zweite Haut.,Dean Koontz,1995,Heyne
276762,3453176944,0,Der Spion und die Zauberin.,Susan King,2000,Heyne
276762,3453185137,0,Prinz der Kelche.,Gayle Feyrer,2001,Heyne
276762,3453877241,0,Live aus Bagdad. Das Tagebuch einer Kriegs-Reporterin.,Antonia Rados,2003,Heyne
276762,3517017442,0,Durch TeebaumÃ?Â¶l gesund und schÃ?Â¶n.,Heidelore Kluge,1995,SÃ?Â¼dwest-Verlag
276762,3596125006,0,Briefe der Liebe.,Maria Nurowska,1995,"Fischer (Tb.), Frankfurt"
276772,0140279091,0,Saving Private Ryan,Max Allan Collins,1998,Penguin Books Ltd
276772,0553572369,7,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
276772,0571058086,0,Waiting for Godot,Samuel Beckett,0,Faber Faber Inc
276772,3499230933,10,Adressat unbekannt.,Kathrine Kressmann Taylor,2002,Rowohlt Tb.
276772,3596151465,10,Henry der Held.,Roddy Doyle,2001,"Fischer (Tb.), Frankfurt"
276774,0099543818,0,"East, West",Salman Rushdie,1995,Vintage Books
276774,3404147723,0,Im Schatten der Lilie. Die Erinnerungen der Eleonore von Aquitanien.,Patrice Leavold,2002,LÃ?Â¼bbe
276774,3423111321,0,Die Teufelin. Roman.,Fay Weldon,1989,Dtv
276774,3442136644,9,Endlich Nichtraucher.,Allen Carr,1992,Goldmann
276774,3492232000,0,Ein Liebhaber zuviel ist noch zu wenig.,Gaby Hauptmann,2000,Piper
276780,8434811634,0,"Escarabajos Vuelan Al Atardecer, Los",Maria Gripe,1995,S & M Books
276786,842333533X,0,Vieja Nueva York,Edith Wharton,2003,Planeta Pub Corp
276786,8433914456,0,Invitacion a la Etica,Fernando Savater,1995,Anagrama
276786,8437606322,8,Anna Karenina,Leo Tolstoy,1999,Ediciones Catedra S.A.
276786,8445072919,0,Cuentos Inconclusos,J. R. R. Tolkien,1998,Minotauro
276786,847765011X,0,Isabelle Eberhardt,Eglal Errera,1991,Circe
276786,8478442588,6,El Elogio de La Sombra,Tanazaki,1998,Siruela
276788,0345443683,8,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
276788,043935806X,7,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
276788,055310666X,10,False Memory,Dean R. Koontz,1999,Bantam Books
276796,0330332775,5,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
276798,0006379702,5,"My \""Star Trek\"" Memories",William Shatner,1993,HarperCollins Publishers
276798,3423084049,0,Der Englishche Patient,Michael Ondaatje,0,Deutscher Taschenbuch Verlag (DTV)
276798,3442131340,7,Ein Fall fÃ?Â¼r Kay Scarpetta / Ein Mord fÃ?Â¼r Kay Scarpetta. Zwei Romane in einem Band.,Patricia Cornwell,2001,Goldmann
276798,3446202102,0,Der GeschichtenverkÃ?Â¤ufer.,Jostein Gaarder,2002,Hanser Belletristik
276798,3453073398,0,Die Scheibenwelt. Zwei Romane in einem Band. Das Licht der Phantasie / Das Erbe des Zauberers.,Terry Pratchett,1993,Heyne
276798,3453115783,0,Tom Clancy's Op- Center. Spiegelbild.,Tom Clancy,1996,Heyne
276798,3499134004,0,Rabbit in Ruhe.,John Updike,1994,Rowohlt Tb.
276798,349915398X,0,Hasenherz. Roman.,John Updike,1976,Rowohlt Tb.
276798,3548603203,6,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
276798,3764501383,0,Nomadentochter.,Waris Dirie,2002,Blanvalet Verlag GmbH
276798,3791535889,0,Moby Dick. ( Ab 12 J.).,Herman Melville,2001,Dressler Verlag
276800,0061054143,0,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
276800,0061054151,0,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
276800,0061056774,0,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
276800,0671021346,0,"Blooded (Buffy the Vampire Slayer, Book 5)",Christopher Golden,1998,Simon Spotlight Entertainment
276800,0671024108,0,Speaking in Tongues,Jeffery Deaver,2002,Pocket
276800,1562827898,7,Storm Surge: A Quin St. James and Mike McCleary Mystery,T. J. MacGregor,1993,Hyperion Books
276804,0064405176,0,Walk Two Moons,Sharon Creech,1996,HarperTrophy
276804,0439104769,0,Bloomability,Sharon Creech,0,Scholastic Inc
276804,0440498058,8,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
276808,0395547032,10,"Richard Brautigan : A Confederate General from Big Sur, Dreaming of Babylon, and the Hawkline Monster (Three Books in the Manner of Their Original ed)",Richard Brautigan,1991,Mariner Books
276811,0440414121,10,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997,Yearling
276813,8401328322,0,Por los pelos,Miriam Keyes,2000,Downtown Book Center
276813,8401461189,0,007 El Mundo Nunca Es Suficiente,Raymond Benson,1999,"Plaza & Janes Editores, S.A."
276813,8401471796,0,Cinco Semanas En Globo (Espasa Bolsillo),Verne,0,Plaza & Janes Editor
276813,8423996565,8,La hija del CanÃ­bal,Rosa Montero,1998,"Espasa Calpe Mexicana, S.A."
276813,8424130081,0,"Los Calusari/the Calusari (Coleccion \""Expediente X\""/the X Files Series)",Garth Nix,1998,Everest Pub
276813,8426449476,8,El Diaro De Bridget Jones,Helen Fielding,1996,Lumen Espana
276813,8426449573,6,Bridget Jones:SobrevivirÃ©,Helen Fielding,2000,Downtown Book Center Inc
276813,8478885218,6,La Fiesta De Ralph,Lisa Jewell,0,Emece Editores
276813,8478886044,8,Nadie Es Perfecto (Narrativa Actual),Jane Green,2001,Oceano De Mexico
276813,8495618052,0,Katie.com,Katherine Tarbox,2001,Umbriel
276814,0091830893,8,The Circle And The Cross 1: Playing Of,Caiseal Mor,1996,Random House Australia
276814,0812571029,9,Uther (Camulod Chronicles),Jack Whyte,2001,Tor Books
276817,0671749609,0,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
276820,0140062718,0,The Rebel Angels,Robertson Davies,1983,Penguin Books
276822,0060096195,10,The Boy Next Door,Meggin Cabot,2002,Avon Trade
276822,0141310340,9,Skin and Other Stories (Now in Speak!),Roald Dahl,2002,Puffin Books
276822,0142302198,10,Growing Wings,Laurel Winter,2002,Puffin Books
276822,0156006065,9,The Riddle of Scheherazade: And Other Amazing Puzzles,Raymond Smullyan,1998,Harvest Books
276822,0375821813,9,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
276822,038076041X,10,A Kid's Guide to How to Save the Planet (Camelot world),Billy Goodman,1990,Harpercollins Juvenile Books
276822,0439087597,0,The Last Book in the Universe,Rodman Philbrick,2002,Scholastic Signature
276822,0439401399,6,The Contest,Gordon Korman,2002,Scholastic
276822,0689804458,8,A String in the Harp,Nancy Bond,1996,Aladdin
276822,0786812508,9,The Sandy Bottom Orchestra,Jenny Nilson,1998,Hyperion Books for Children
276822,0786817070,10,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
276822,0805057706,10,The Number Devil: A Mathematical Adventure,Hans Magnus Enzensberger,1998,Henry Holt & Company
276822,1551925060,8,Surviving Sam,Karen Rivers,2002,Polestar Book Publishers
276822,1573248533,10,Random Acts of Kindness,Dawna Markova,2002,Conari Press
276828,0385272324,0,Round about Midnight: A Portrait of Miles Davis,Eric Nisenson,1982,Dial Press
276828,2038701962,0,Ubu Roi*,Jarry,0,Editions Larousse
276828,2070264564,0,Des bateaux dans la nuit,Philippe Labro,1982,Gallimard
276828,2070334430,0,Contes De Ma Mere L'Oye,Charles Perrault,0,FOLIO
276828,2070403734,0,Les Confessions: Livres I Ã?Â  IV,Jean-Jacques Rousseau,1997,Gallimard
276828,2080680676,0,Jean-Edern Hallier,Sarah Vajda,2003,Flammarion
276828,2232122263,0,Les derniers poÃ?Â¨mes d'amour,Paul Eluard,2002,Seghers
276828,2253044903,0,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
276828,2253150711,7,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks
276828,2266076000,0,L'Orage,Deforges,2000,Pocket (FR)
276828,2277221678,0,Maudit Manege,Philippe Djian,0,Kurtzman Sales Inc
276828,2290321028,0,Le chateau des carpathes,Jules Verne,2002,J'ai lu
276828,2842190009,0,La petite Ã?Â©cuyÃ?Â¨re a caftÃ?Â©,Jean-Bernard Pouy,1997,Baleine
276830,0440225825,9,Move to Strike,Perri O'Shaughnessy,2001,Island
276832,0316781266,0,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
276832,0345446860,5,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
276833,0671876244,0,"Field of Dishonor (Honor Harrington Series, Book 4)",David Weber,1994,Baen
276835,3125785006,10,Of Mice and Men. Text and Study Aids. (Lernmaterialien),John Steinbeck,2001,Klett
276837,0380005239,5,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
276838,1593080255,0,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes & Noble Books-Imports
276840,0385729340,0,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
276847,0446364193,0,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
276847,3379015180,0,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig"
276847,3404145909,8,Der Stein der Kelten.,Michael Phillips,2001,LÃ?Â¼bbe
276847,3404148576,8,Nordermoor,Arnaldur Indridason,2003,LÃ?Â¼bbe
276847,3404921178,7,Nur der Tod ist ohne Makel.,Ann Granger,2002,LÃ?Â¼bbe
276847,3423071516,10,Der Kleine Hobbit,J. R. R. Tolkien,2002,Distribooks
276847,3423204885,0,Die Benachteiligung erfolgt durch die Post. StilblÃ?Â¼ten aus Inseraten und Pressenotizen.,Georg Friedrich Nikol,2001,Dtv
276847,3423205806,0,Lieber Sport als Mord.,Horst Bosetzky,2002,Dtv
276847,3426622610,0,Gratsch.,Jockel Tschiersch,2003,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co."
276847,3426671298,8,Das geheime ABC der Toten.,Patricia Cornwell,1997,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co."
276847,344215121X,9,Hitlers Kinder.,Guido Knopp,2001,Goldmann
276847,3442413508,10,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992,Goldmann
276847,3442422035,9,Keiner werfe den ersten Stein. Roman.,Elizabeth George,1993,Goldmann
276847,3442435773,8,Denn keiner ist ohne Schuld.,Elizabeth George,1996,Goldmann
276847,3442437717,7,Asche zu Asche.,Elizabeth George,1997,Goldmann
276847,3442441080,10,Im Angesicht des Feindes.,Elizabeth George,1998,Goldmann
276847,3442442796,0,Reif fÃ?Â¼r die Insel. England fÃ?Â¼r AnfÃ?Â¤nger und Fortgeschrittene.,Bill Bryson,1999,Goldmann
276847,3442444020,8,Denn sie betrÃ?Â¼gt man nicht.,Elizabeth George,1999,Goldmann
276847,3442446414,10,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks,2000,Goldmann
276847,3442448530,7,Die HirnkÃ?Â¶nigin.,Thea Dorn,2001,Goldmann
276847,3442449820,9,Undank ist der VÃ?Â¤ter Lohn.,Elizabeth George,2001,Goldmann
276847,3453137442,6,Der Goldene Kompass / The Golden Compass,Philip Pullman,2002,Distribooks
276847,3453870190,0,Auf dÃ?Â¼nnem Eis.,Charles Todd,2003,Heyne
276847,347354034X,7,Die Welle,Rhue,1998,"Ullstein-Taschenbuch-Verlag, Zweigniederlassung der Ullstein Buchverlage GmbH"
276847,3492231322,9,Der UnterhÃ?Â¤ndler.,Frederick Forsyth,2000,Piper
276847,349912176X,0,Inspektor Jury kÃ?Â¼Ã?Â?t die Muse. Roman.,Martha Grimes,2003,Rowohlt Tb.
276847,3499222213,7,Im Keller.,Jan Philipp Reemtsma,1998,Rowohlt Tb.
276847,3499228297,6,"Alte Freunde, neue Feinde. Ein Fall fÃ?Â¼r Bernhard Gunther.",Philip Kerr,2000,Rowohlt Tb.
276847,3499232529,0,Der Tag X.,Philip Kerr,2002,Rowohlt Tb.
276847,3499233436,0,Tod im weiÃ?Â?en HÃ?Â¤ubchen.,P. D. James,2003,Rowohlt Tb.
276847,3499264528,0,Inspektor Jury bricht das Eis. Roman.,Martha Grimes,2003,Wunderlich im Rowohlt
276847,3499433443,8,Goldmann: Feuer in Berlin,Kerr,0,Wilhelm Goldmann Verlag GmbH
276847,3506464078,10,Le Petit Prince. (FranzÃ?Â¶sische Ausgabe). (Lernmaterialien),Antoine de Saint-Exupery,1981,"F. SchÃ?Â¶ningh, Paderborn"
276847,3548602967,0,Rand.,Jan Kjaerstad,2003,List Tb.
276847,3551551677,10,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH
276847,3551551685,10,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000,Carlsen Verlag GmbH
276847,3551551693,10,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH
276847,3551551936,10,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,Carlsen Verlag GmbH
276847,359621078X,9,Saemtliche Erzaehlungen,Franz Kafka,0,Fischer Taschenbuch Verlag
276847,3608932240,7,Der Herr der Ringe. AnhÃ?Â¤nge und Register.,John Ronald Reuel Tolkien,2000,Klett-Cotta
276847,360893541X,10,Die Gefahrten I,J. R. R. Tolkien,2001,Distribooks
276847,3608935428,10,Die Zwei Turme II,J. R. R. Tolkien,2001,Distribooks
276847,3608935436,10,Die Wiederkehr Des Konigs III,J. R. R. Tolkien,2001,Distribooks Intl
276847,374661922X,0,Der Sterne TennisbÃ?Â¤lle.,Stephen Fry,2003,Aufbau Tb
276847,3770131495,0,Ungarn.,Elke Eberhardt,2002,Dumont Reiseverlag
276847,3809024589,8,Die Chirurgin.,Tess Gerritsen,2002,Limes
276847,3821815191,10,Das bizarre Sexualleben der Tiere. Ein populÃ?Â¤res Lexikon von Aal bis Zebra.,Michael Miersch,1999,Eichborn
276848,3442440777,0,Die siebte GeiÃ?Â?el.,Ann Benson,1998,Goldmann
276848,3453042905,0,Gevatter Tod. Roman. ( Fantasy).,Terry Pratchett,1990,Heyne
276848,3453061187,0,Die Jury. Roman.,John Grisham,1992,Heyne
276848,3453071174,0,Die Firma. Roman.,John Grisham,1993,Heyne
276848,3453127013,0,Der Regenmacher.,John Grisham,1997,Heyne
276848,3453211014,0,Kaltgestellt.,Colin Forbes,2002,Heyne
276848,3596122279,0,Das Superwieb,Hera Lind,2002,Distribooks Inc
276848,3922524443,0,Ich liebe Dich!: Ein Eisenbahnroman mit 66 Intermezzos,Paul Scheerbart,1988,Affholderbach & Strohmann
276850,0449217264,7,Alaska,James A. Michener,1994,Fawcett Books
276852,055321358X,0,O Pioneers! (Bantam Classic),Willa Cather,1989,Bantam Books
276853,8420457477,1,Los Trapos Sucios - Manolito Gafotas,Lindo,0,European Schoolbooks Limited
276853,8448034023,7,Mycroft Holmes Contra La Hermandad,Quinn Fawcett,2000,Timun Mas
276854,0671034944,5,Soul Survivor,Christopher Golden,1999,Simon Pulse
276854,0843946415,0,Alone with the Dead (Joe Keough Mysteries (Paperback)),Robert J. Randisi,1999,Leisure Books
276856,2010173929,0,La Citadelle Du Vertige,Grousset,0,Hachette
276856,2012003494,0,Les Six Compagnons Ã?Â  Scotland Yard,Paul-Jacques Bonzon,1999,Hachette LittÃ?Â©rature
276856,2013218826,0,Mon bel oranger,JosÃ?Â© Mauro de Vasconcelos,2001,Hachette Jeunesse
276856,2013220162,0,L'Appel de la forÃ?Âªt,Jack London,2002,Hachette Jeunesse
276856,207033015X,0,Un Bon Petit Diable,Segur,0,Livre de Poche
276856,2203142278,0,Les derniers gÃ?Â©ants,FranÃ?Â§ois Place,1993,Casterman
276856,2205040561,0,"Iznogoud, tome 2 : Les complots d'Iznogoud",Philippe Tabary,1996,Dargaud
276856,2253005274,0,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc
276856,2723402983,0,"Percevan, tome 1 : Les Trois Etoiles d'Ingaar",Philippe Luguy,1993,GlÃ?Â©nat
276856,2800108584,0,"Les Tuniques bleues, tome 1 : un chariot dans l'ouest",Louis SalvÃ?Â©rius,1986,Dupuis
276856,2800134259,0,"BD Pirate : Cupidon, tome 2 : Philtre d'amour",Malik,2003,Dupuis
276856,2800134267,0,"BD Pirate : Cupidon, tome 3 : Baiser de feu",Malik,2003,Dupuis
276856,2803616998,0,"LÃ?Â©onard, tome 1 : LÃ?Â©onard est un gÃ?Â©nie",Bob de Groot,2002,Le Lombard
276859,014014899X,0,What's That Pig Outdoors: A Memoir of Deafness,Henry Kisor,1991,Penguin Books
276859,0140269967,0,"The Power to Harm: Mind, Medicine, and Murder on Trial",John Cornwell,1998,Penguin Books
276859,0140328742,0,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,1988,Penguin USA
276859,0140366830,0,Tales of the Greek Heroes: Retold from the Ancient Authors (Puffin Classics),Roger Lancelyn Green,1995,Puffin Books
276859,0140367446,0,Kim (Puffin Classics-the Essential Collection),Rudyard Kipling,1996,Puffin Books
276859,0425131378,0,How to Deal With Your Parents: When They Still Treat You Like a Child,Lynn Osterkamp,1992,Berkley Pub Group
276859,0517642689,7,French Cuisine for All,Louisette Bertholle,1987,Weathervane Books
276859,0600571165,0,Journey Through Nature (Journey Through Series),Jim Flegg,1992,Egmont Childrens Books
276859,077104450X,8,Going Inside: A Couple's Journey of Renewal into the North,Alan S. Kesselheim,1995,McClelland & Stewart Ltd
276859,0789706032,8,The Complete Idiot's Guide to the Microsoft Network,John Pivovarnick,1995,Que
276859,0836218833,10,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992,Andrews McMeel Publishing
276859,0836220889,10,Calvin and Hobbes,Bill Watterson,1987,Andrews McMeel Publishing
276859,088365721X,9,"The Best of Bombeck: At Wit's End, Just Wait Until You Have Children of Your Own, I Lost Everything in the Post-Natal Depression",Erma Bombeck,1994,BBS Publishing Corporation
276859,1559712252,6,Dear Children of the Earth: A Letter from Home,Schim Schimmel,1994,Northword Press
276859,1567616089,8,The Complete Idiots Guide to Getting the Job You Want (W/2 Discs),Marc A. Dorio,1995,Macmillan Distribution
276859,2890510328,0,Deux Grands Ducs Dans La Famille (Collection Des Deux Solitudes: Jeunesse),Farley Mowat,1980,P. Tisseyere
276859,3257227264,0,Die HÃ?Â¤upter meiner Lieben.,Ingrid Noll,2000,Diogenes Verlag
276861,342313075X,0,Die rote Antilope.,Henning Mankell,2003,Dtv
276861,3423201509,10,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002,Distribooks
276861,3446200452,8,Der Unsichtbare. ( Ab 13 J.).,Mats Wahl,2001,Carl Hanser Verlag
276861,349223903X,6,Die MÃ?Â¤dchen mit den dunklen Augen.,Judith Lennox,2003,Piper
276861,3499231603,9,Die Kunst des Verschwindens.,Jim Dodge,2002,Rowohlt Tb.
276861,360893541X,9,Die Gefahrten I,J. R. R. Tolkien,2001,Distribooks
276861,3608935428,9,Die Zwei Turme II,J. R. R. Tolkien,2001,Distribooks
276861,3608935436,9,Die Wiederkehr Des Konigs III,J. R. R. Tolkien,2001,Distribooks Intl
276861,3886807843,8,Was Mir Wichtig War: Letzte Aufzeichnungen Und Gesprache,Marion Grafin Donhoff,2002,Verlag Wolf Jobst Siedler GmbH
276862,0345423402,0,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
276862,1569312435,9,"Battle Angel Alita - Fallen Angel (Battle Angel Alita , No.8)",Yukito Kishiro,1998,Viz Communications
276862,1892213141,8,Ice Blade: Snow Country (Ice Blade),Tutomu Takahashi,1999,TokyoPop
276866,3257218516,3,Verraten und verkauft. Roman.,Philippe Djian,1990,Diogenes Verlag
276866,3404126343,8,Die Krone der Welt.,Peter Berling,1997,LÃ?Â¼bbe
276866,3404131606,0,Nachtschicht.,Stephen King,2003,LÃ?Â¼bbe
276866,3404139178,9,Das Lacheln der Fortuna: Historischer Roman,Rebecca Gable,1997,LÃ?Â¼bbe
276866,3404143299,7,Die Dinge des Lebens.,Alexandra Jones,2000,LÃ?Â¼bbe
276866,3404614542,0,CÃ?Â¤sar und Kleopatra. Die letzten Tage der RÃ?Â¶mischen Republik.,Philipp Vandenberg,2000,LÃ?Â¼bbe
276866,340645724X,3,Auf der Suche nach dem verlorenen GlÃ?Â¼ck.,Jean Liedloff,1999,C.H.Beck
276866,3426192543,5,Im FrÃ?Â¼hling singt zum letztenmal die Lerche.,Johannes Mario Simmel,1990,Droemer Knaur
276866,3426702266,0,Die Tochter der WÃ?Â¤lder.,Juliet Marillier,2001,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co."
276866,3442421357,0,Im Eishaus.,Minette Walters,1996,Goldmann
276866,3442443806,4,Die StÃ?Â¶renfrieds. Geschichten von Leo und Paulina.,Amelie Fried,1999,Goldmann
276866,345309221X,8,Die Zauberin von Ruwenda.,Marion Zimmer Bradley,1995,Heyne
276866,3453108361,7,Das Haus auf den Klippen.,Mary Higgins Clark,1996,Heyne
276866,3453126912,0,Das Schwarze Auge. Aus dunkler Tiefe.,Barbara BÃ?Â¼chner,1997,Heyne
276866,3453130901,5,Im Netz der Spinnen. Videokill.,Wolfgang Hohlbein,1998,Heyne
276866,3453132262,0,Die Wolfsfrau. Die Kraft der weiblichen Urinstinkte.,Clarissa Pinkola Estes,1997,Heyne
276866,3596129389,0,Die Zauberfrau.,Hera Lind,1995,"Fischer (Tb.), Frankfurt"
276866,3596237874,0,Beim Naechsten Mann Wird Alles (Frau in Der Gesellschaft),Eva Heller,1997,Fischer Taschenbuch Verlag GmbH
276866,3596247500,0,Ein Mann fÃ?Â¼r jede Tonart. Roman. ( Die Frau in der Gesellschaft).,Hera Lind,2000,"Fischer (Tb.), Frankfurt"
276866,3809410357,5,4000 Vornamen aus aller Welt. Von Alexander bis Zoe.,Ines Schill,2000,Bassermann
276869,0345249372,0,Childhood's End,Clarke C.,1976,Not Avail
276869,044020562X,0,One,Richard Bach,1989,Dell
276872,0425167097,8,Toxin,Robin Cook,1999,Berkley Pub Group
276872,042518109X,8,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
276872,0425188221,7,Shadowland,Peter Straub,2003,Berkley Publishing Group
276872,8571648972,10,EstaÃ§Ã£o Carandiru,Drauzio Varella,1999,Companhia das Letras
276875,0688172377,0,Desert Flower : The Extraordinary Journey Of A Desert Nomad,Waris Dirie,1999,Perennial
276875,8804407808,6,Canone inverso: Romanzo (Scrittori italiani),Paolo Maurensig,1996,A. Mondadori
276875,8806155873,0,Un Giorno Dopo L'altro,Carlo Lucarelli,2000,Einaudi
276875,8807806746,0,Garzanti - Gli Elefanti: Altre Inquisizioni,Borges,0,Feltrinelli
276875,8807810751,7,Piccoli Equivoci Senza Importanza: Piccoli Equivoci Senza Importanza,Tabucchi,0,Feltrinelli
276875,8817106100,6,Oceano Mare,Alessandro Baricco,0,Biblioteca Universale Rizzoli
276875,8831760122,0,La Testa Fra Le Nuvole,Tamaro,0,Marsilio Editori
276875,8833908488,4,Codice: Racconto (Varianti),Mario Giorgi,1994,Bollati Boringhieri
276875,8838910987,8,Il birraio di Preston (La memoria),Andrea Camilleri,1995,Sellerio
276878,0449210197,6,Crows,Charles Dickinson,1986,Fawcett Books
276884,0151446474,0,The Name of the Rose,Umberto Eco,1983,Harcourt
276887,0064430227,5,Harold and the Purple Crayon 50th Anniversary Edition (Purple Crayon Books),Crockett Johnson,1981,HarperTrophy
276887,0671723650,0,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
276887,0812533550,9,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,Tor Books
276888,8806162160,6,Un Amore Dell'altro Mondo,Pinclo,0,Einaudi
276888,884590184X,0,Siddharta Romanzo Versione Di M Mila,Hermann Hesse,0,Adelphi Book Shop Ltd
276889,0446613843,0,The Jester,James Patterson,2004,Warner Books
276890,0140270272,0,Flight of Eagles,Jack Higgins,1999,Penguin Books Ltd
276896,0440241537,10,The King of Torts,JOHN GRISHAM,2003,Dell
276904,0375901582,10,Girl Coming in for a Landing,APRIL HALPRIN WAYLAND,2002,Knopf Books for Young Readers
